source_tx,sort_nu,category_name,rest_layer_name,label_tx,field_nm,statistic_cd,units_tx,description_tx
Service2016,1,Protected Lands,Acres of land enrolled in CRP (0) ,Acres of land enrolled in CRP,CRP_acres,sum,acres,This map portrays the acres of land within each subwatershed (12-digit HUC) that are enrolled in the US Department of Agriculture's Conservation Reserve Program (CRP). The CRP is a program administered by the Farm Service Agency; farmers in the program receive annual payments and establishment cost share to remove environmentally sensitive land from crop production and instead plant perennial species that provide environmental benefits.
Service2016,2,Crop Productivity ,Acres of pollinated crops with no nearby pollinator habitat (1) ,Acres of crops that have no nearby pollinator habitat,Acres_Unpo,sum,acres,"This map layer depicts the total acres of agricultural crops within a subwatershed (12-digit HUC) that require or would benefit from the presence of pollinators, but are without any nearby supporting habitat."
Service2016,3,Water Use,Agricultural water use (million gallons/day) (2) ,Agricultural water use,AWD_MGAL,sum,million gallons per day,"This map estimates the millions of gallons of water used daily for agricultural irrigation for each subwatershed (HUC-12) in the contiguous United States. Estimates include self-supplied surface and groundwater, as well as water supplied by irrigation water providers, which may include governments, companies, or other organizations."
Service2016,4,Pollutants: Nutrients,Annual oxidized nitrogen dry deposition (kg/ha) (3) ,Annual oxidized nitrogen dry deposition ,DD_OXN_T,average,kg-N/ha per year,This map estimates the annual dry deposition of oxidized nitrogen within each subwatershed (12-digit HUC) in kilograms per hectare. Dry deposition occurs when particles or gases attach to surfaces such as dust or smoke and fall to the earth's surface.
Service2016,5,Pollutants: Nutrients,Annual oxidized nitrogen wet deposition (kg/ha) (4) ,Annual oxidized nitrogen wet deposition,AWD_OXN_T,average,kg-N/ha per year,"This map estimates the annual wet deposition of oxidized nitrogen within each subwatershed (12-digit HUC) in kilograms per hectare. Wet deposition occurs when rain, snow, or fog carry nitrogen to the earth’s surface."
Service2016,6,Pollutants: Nutrients,Annual reduced nitrogen dry deposition (kg/ha) (5) ,Annual reduced nitrogen dry deposition ,DD_REDN_T,average,kg-N/ha per year,This map estimates the annual dry deposition of reduced nitrogen within each subwatershed (12-digit HUC) in kilograms per hectare. Dry deposition occurs when particles or gases attach to surfaces such as dust or smoke and fall to the earth's surface.
Service2016,7,Pollutants: Nutrients,Annual reduced nitrogen wet deposition (kg/ha) (6) ,Annual reduced nitrogen wet deposition ,AWD_REDN_T,average,kg-N/ha per year,"This map estimates the annual wet deposition of reduced nitrogen within each subwatershed (12-digit HUC) in kilograms per hectare. Wet deposition occurs when rain, snow, or fog carry nitrogen to the earth’s surface."
Service2016,8,Pollutants: Nutrients,Annual sulfur dry deposition (kg/ha) (7) ,Annual sulfur dry deposition ,DD_S_T,average,kg-S/ha per year,This map estimates the annual dry deposition of sulfur within each subwatershed (12-digit HUC) in kilograms per hectare. Dry deposition occurs when particles or gases attach to surfaces such as dust or smoke and fall to the earth's surface.
Service2016,9,Pollutants: Nutrients,Annual sulfur wet deposition (kg/ha) (8) ,Annual sulfur wet deposition ,AWD_S_T,average,kg-S/ha per year,"This map estimates the annual wet deposition of sulfur within each subwatershed (12-digit HUC) in kilograms per hectare. Wet deposition occurs when rain, snow, or fog carry sulfur to the earth’s surface."
Service2016,10,Energy Potential,Area of solar energy (km2) (9) ,Area of solar energy (km2),SolE_Area,sum,km2,This map estimates the square kilometers of area within each subwatershed (12-digit HUC) that offers the potential for harvesting solar energy for 2009. This map does not take into account land use or ownership.
Service2016,11,Energy Potential,Average annual daily potential solar energy (kWh/m2/day) (10) ,Average annual daily potential solar energy (kWh/m2/day),SolE_Mean,average,kWh/m2/day,This map estimates the average daily potential kilowatt hours of solar energy that could be harvested per square meter within each subwatershed (12-digit HUC) for 2009. This calculation is based on environmental factors and does not take into account land ownership or viability of installing solar harvesting systems.
Service2016,12,Energy Potential,Average annual daily potential wind energy (kWh/m2/day) (11) ,Average annual daily potential wind energy (kWh/m2/day),AvgWindEnergy,average,kWh/m2/day,"This map estimates the average daily potential kilowatt hours of wind energy that could be harvested per square meter within each subwatershed (12-digit HUC), based on data from 2001-2012. This calculation is based on environmental factors and does not take into account land ownership or viability of installing wind harvesting systems."
Service2016,13,Weather and Climate,Average annual precipitation (inches/yr) (12) ,Average Precipitation,MeanPrecip,average,inches per year,Average annual precipitation (inches)
Service2016,14,Engagement with Outdoors,Big game hunting recreation demand (13) ,Big game hunting recreation demand,BG_Demand,sum,number per year,This map illustrates the number of day trips per year demanded for big game hunting by individuals over the age of 18 within each subwatershed (12-digit HUC) for 2010-2011.
Service2016,15,Engagement with Outdoors,Bird watching recreation demand (14) ,Bird watching recreation demand,BW_Demand,sum,number per year,This map illustrates the number of day trips per year demanded for bird watching by individuals over the age of 18 within each subwatershed (12-digit HUC) for 2010-2011.
Service2016,16,Carbon Storage,Carbon storage by tree biomass (metric tons) (15) ,Carbon storage by tree biomass (metric tons),BMass_Tons,sum,metric tons,This map estimates the metric tons (megagrams) of dry carbon stored in above ground biomass of trees and forests in each subwatershed (12-digit HUC) for 2000.
Service2016,17,Carbon Storage,Carbon storage by tree root biomass (metric tons) (16) ,Carbon storage by tree root biomass (metric tons) ,Root_BMass_Tons,sum,metric tons,This map estimates the metric tons (megagrams) of dry carbon stored in below ground biomass in each subwatershed (12-digit HUC) for 2000. Biomass below ground includes tree root biomass and soils.
Service2016,18,Crop Productivity ,Cotton yields (thousand tons/yr) (17) ,Cotton yields (thousand tons/yr),COT_KTONS,sum,thousands of tons per year,This map depicts the thousands of tons of cotton that are grown annually within each subwatershed (12-digit HUC).
